TF,Lib_number,Exp_number,pool_number,Sample_name,why?,bad sample pool?
Msn2DBDOEContextGsy2,78,28,2,1_180_2,,
Msn2DBDOEContextAim18,78,28,2,1_0_1,,
Msn2DBDOEContextAim18,78,28,2,1_180_3,,
Msn2DBDOEContextStp4,78,28,2,1_180_1,,
Msn2NONDBDOEContextAim18,32,28,1,1_180_2,,
Msn2NONDBDOEContextGsy2,66,28,1,1_180_2,,
Msn2NONDBDOEContextND,66,28,1,1_180_3,,
Msn2NONDBDOEContextAim18,66,28,1,1_180_2,,
Msn2NONDBDOEContextGpx1,66,28,1,1_180_2,,
Msn2NONDBDOEContextStp4,66,28,1,1_180_3,,
Msn2NONDBDOEContextND,56,28,1,1_180_3,,
Msn2NONDBDOEContextAim18,56,28,1,1_180_2,,
Msn2NONDBDOEContextGpx1,56,28,1,1_180_2,,
Msn2NONDBDOEContextStp4,56,28,1,1_180_3,,
Msn2NONDBDOEContextGsy2,72,28,1,1_180_2,,
Msn2NONDBDOEContextND,72,28,1,1_180_1,,
Msn2NONDBDOEContextAim18,72,28,1,1_180_2,,
Msn2NONDBDOEContextGpx1,72,28,1,1_180_2,,
Msn2NONDBDOEContextStp4,72,28,1,1_180_3,,
Msn2NONDBDOEContextGsy2,88,28,2,1_180_1,,
Msn2NONDBDOEContextND,88,28,2,1_180_3,,
Msn2NONDBDOEContextAim18,88,28,2,1_180_2,,
Msn2NONDBDOEContextGpx1,88,28,2,1_180_2,,
Msn2NONDBDOEContextStp4,88,28,2,1_180_3,,
Msn2NONDBDOEContextND,69,28,2,1_180_3,,
Msn2NONDBDOEContextAim18,69,28,2,1_180_2,,
Msn2NONDBDOEContextND,87,28,2,1_180_3,,
Msn2NONDBDOEContextAim18,87,28,2,1_180_2,,
Msn2NONDBDOEContextND,78,28,2,1_180_3,,
Msn2NONDBDOEContextAim18,78,28,2,1_180_2,,
Msn2,Msn2C,29,1,1_0_1,,
Msn2,Msn2D,29,1,1_0_1,,
Msn2DBDOE,Msn2B,29,1,1_180_3,,
Msn2DBDOE,Msn2D,29,1,1_180_2,,
Msn2DBDOE,Msn2E,29,1,1_0_3,,
Msn2DBDOE,Msn2F,29,1,1_0_3,,
Msn2DBDOE,Msn2F,29,1,1_180_1,,
Msn2DBDOE,Msn2G,29,1,1_0_3,,
Msn2DBDOE,Msn2G,29,1,1_180_2,,
Msn2DBDOE,Msn2H,29,1,1_0_3,,
Msn2NONDBDOE,Msn2B,29,1,1_180_2,,
Msn2NONDBDOE,Msn2D,29,1,1_180_3,,
Msn2NONDBDOE,Msn2E,29,1,1_0_1,,
Msn2NONDBDOE,Msn2E,29,1,1_180_3,,
Msn2NONDBDOE,Msn2F,29,1,1_0_2,,
Msn2NONDBDOE,Msn2G,29,1,1_180_1,,
Msn2NONDBDOE,Msn2H,29,1,1_0_1,,
Msn2NONDBDOE,Msn2H,29,1,1_180_3,,
Mot3,Mot3A,29,1,1_0_1,,
Cbf1,Cbf1A,29,1,1_180_2,,
Cbf1,Cbf1B,29,1,1_0_2,,
Cbf1,Cbf1B,29,1,1_180_2,,
Reb1,Reb1A,29,1,1_0_1,,
Reb1,Reb1A,29,1,1_180_2,,
Reb1,Reb1B,29,1,1_0_3,,
